word,id,code,importance,group
champe,0,0,0,0
T.,1,0,0,0
Barton,2,0,0,0
Visual,3,3,0,0
Data,4,5,0,0
Reporter,5,4,0,0
Graphic,6,3,0,0
Designer,7,3,0,0
champebarton@gmail.com,8,0,0,0
-954,9,0,0,0
662-2148,10,0,0,0
940,11,0,0,0
Saint,12,0,0,0
Nicholas,13,0,0,0
Ave,14,0,0,0
6G,15,0,0,0
New,16,0,0,0
"York,",17,0,0,0
NY,18,0,0,0
10032,19,0,0,0
champetbarton.com,20,5,0,0
github.com/champebarton,21,5,0,0
EDUCATION,22,2,0,1
Columbia,23,4,4,1
Journalism,24,4,4,1
"School,",25,4,4,1
New,26,2,0,1
"York,",27,2,0,1
N.Y.,28,1,0,1
M.S.,29,4,5,1
w/,30,0,0,1
focus,31,2,5,1
in,32,0,0,1
data,33,5,5,1
journalism,34,4,5,1
&,35,0,0,1
longform,36,4,5,1
reporting,37,4,5,1
Graduation:,38,1,0,1
May,39,0,0,1
2019,40,0,0,1
Master’s,41,2,4,1
Thesis:,42,2,4,1
Exploring,43,4,4,1
the,44,0,0,1
suburbanization,45,4,4,1
of,46,0,0,1
blacks,47,4,4,1
in,48,0,0,1
NYC,49,4,4,1
through,50,4,4,1
the,51,0,0,1
outmigration,52,4,4,1
of,53,0,0,1
residents,54,4,4,1
from,55,0,0,1
a,56,0,0,1
single,57,4,4,1
public,58,4,4,1
housing,59,4,4,1
development,60,4,4,1
Relevant,61,0,0,1
Coursework:,62,0,0,1
Master’s,63,2,4,1
Thesis,64,2,4,1
Reporting,65,4,6,1
Fundamentals,66,4,6,1
Audio,67,4,3,1
1,68,2,3,1
Investigative,69,4,1,1
Techniques,70,4,1,1
Feature,71,4,2,1
Writing,72,4,2,1
University,73,1,3,1
of,74,0,0,1
"Florida,",75,1,3,1
"Gainesville,",76,1,0,1
Fla.,77,1,0,1
Economics,78,1,4,1
&,79,0,0,1
Cognitive,80,1,2,1
Neuroscience,81,1,2,1
dual-major,82,1,0,1
Classics,83,1,0,1
"minor,",84,1,0,1
CS,85,5,6,1
major,86,2,6,1
for,87,0,0,1
1,88,2,6,1
year,89,2,0,1
Graduation:,90,0,0,1
May,91,0,0,1
2018,92,0,0,1
(BA,93,1,4,1
&,94,1,0,1
BS),95,1,2,1
GPA:,96,1,0,1
3.93,97,1,0,1
(summa,98,1,0,1
cum,99,1,0,1
laude,100,1,0,1
in,101,0,0,1
both,102,0,0,1
degrees),103,1,0,1
Senior,104,1,5,1
Thesis:,105,1,5,1
Has,106,0,0,1
the,107,0,0,1
racial,108,1,5,1
demographic,109,1,5,1
of,110,0,0,1
the,111,0,0,1
opioid,112,1,5,1
epidemic,113,1,5,1
in,114,0,0,1
the,115,0,0,1
U.S.,116,1,5,1
influenced,117,1,5,1
a,118,0,0,1
softening,119,1,5,1
in,120,0,0,1
the,121,0,0,1
language,122,1,5,1
surrounding,123,1,5,1
addiction,124,1,5,1
Relevant,125,2,0,1
Coursework:,126,2,0,1
Programming,127,5,5,1
1,128,2,5,1
(Java),129,5,5,1
Programming,130,5,3,1
2,131,2,3,1
(C++),132,5,3,1
Econometrics,133,5,4,1
Virtual,134,5,3,1
Reality,135,5,3,1
for,136,0,0,1
the,137,0,0,1
Social,138,4,3,1
Good,139,4,3,1
Data,140,5,4,1
Visualization,141,5,4,1
and,142,0,0,1
Mapping,143,5,4,1
REFERENCES,144,0,0,0
Michael,145,0,0,0
Shapiro:,146,0,0,0
CJS,147,0,0,0
reporting,148,4,0,0
professor,149,2,0,0
ms106@columbia.edu,150,0,0,0
Mickie,151,0,0,0
Anderson:,152,0,0,0
Gainesville,153,4,0,0
Sun,154,4,0,0
news,155,4,0,0
editor,156,4,0,0
mickie.anderson@gvillesun.com,157,0,0,0
-901,158,0,0,0
359,159,0,0,0
-,160,0,0,0
Jelani,161,4,0,0
Cobb:,162,4,0,0
Master’s,163,2,0,0
Thesis,164,2,0,0
advisor,165,2,0,0
wjc2129@columbia.edu,166,0,0,0
PROFESSIONAL,167,0,0,2
EXPERIENCE,168,0,0,2
The,169,0,0,2
Brooklyn,170,2,10,2
Ink,171,2,10,2
(w/,172,0,0,2
Columbia,173,4,4,2
Journalism,174,4,4,2
School),175,4,4,2
Student,176,2,4,2
Reporter,177,4,4,2
2018,178,0,0,2
-,179,0,0,2
present,180,0,0,2
New,181,1,0,2
"York,",182,1,0,2
N.Y.,183,1,0,2
"Wrote,",184,4,14,2
reported,185,4,14,2
&,186,0,0,2
coded,187,5,14,2
"4,000",188,4,14,2
word,189,4,14,2
story,190,4,14,2
using,191,2,14,2
voter,192,2,14,2
records,193,5,14,2
to,194,0,0,2
map,195,5,14,2
resident,196,4,14,2
displacement,197,4,14,2
Contributed,198,2,6,2
to,199,0,0,2
3-part,200,2,6,2
story,201,4,6,2
fleshing,202,4,6,2
out,203,4,6,2
conversations,204,4,6,2
around,205,4,6,2
Kavanaugh’s,206,4,6,2
confirmation,207,4,6,2
(50%,208,4,6,2
read,209,4,6,2
rate),210,4,6,2
Contributed,211,2,3,2
to,212,0,0,2
~10,213,2,3,2
hour,214,4,3,2
live,215,4,3,2
tweet,216,4,3,2
of,217,0,0,2
Kavanaugh,218,4,3,2
"hearing,",219,4,3,2
aggregating,220,4,3,2
influential,221,4,3,2
tweets,222,4,3,2
for,223,0,0,2
readers,224,4,3,2
The,225,0,0,2
Gainesville,226,4,12,2
Sun,227,4,12,2
Reporting,228,4,12,2
Intern,229,4,12,2
Spring,230,0,0,2
2018,231,0,0,2
Summer,232,0,0,2
2018,233,0,0,2
"Gainesville,",234,0,0,2
Fla.,235,0,0,2
Reported,236,4,12,2
43,237,4,12,2
"stories,",238,4,12,2
with,239,4,12,2
10+,240,4,12,2
front,241,4,12,2
page,242,4,12,2
features,243,4,12,2
(gainesville.com/search?text=champe%20barton),244,4,12,2
Used,245,5,12,2
"d3.js,",246,5,12,2
"Python,",247,5,12,2
&,248,0,0,2
Excel,249,5,12,2
to,250,0,0,2
map,251,5,12,2
school,252,4,12,2
segregation,253,4,12,2
in,254,0,0,2
Alachua,255,2,12,2
County,256,2,12,2
•,257,0,0,2
Used,258,5,12,2
d3.js,259,5,12,2
&,260,0,0,2
Python,261,5,12,2
to,262,0,0,2
aggregate,263,5,12,2
&,264,0,0,2
visualize,265,5,12,2
all,266,5,12,2
businesses,267,5,12,2
in,268,0,0,2
Gainesville,269,5,12,2
with,270,0,0,2
“Gator”,271,5,12,2
in,272,0,0,2
their,273,5,12,2
name,274,5,12,2
Interviewed,275,4,10,2
James,276,4,10,2
"Patterson,",277,4,10,2
covered,278,4,10,2
women,279,4,10,2
in,280,0,0,2
drag,281,4,10,2
"racing,",282,4,10,2
Facebook,283,4,10,2
lived,284,4,10,2
student,285,4,10,2
"protests,",286,4,10,2
&,287,0,0,2
more,288,4,10,2
The,289,0,0,2
Independent,290,4,8,2
Florida,291,4,8,2
Alligator,292,4,8,2
2015,293,0,0,2
2018,294,0,0,2
Op-ed,295,4,8,2
Columnist,296,4,8,2
/,297,0,0,2
Contributing,298,4,5,2
Writer,299,4,5,2
Science,300,4,3,2
Blogger,301,4,3,2
"Gainesville,",302,0,0,2
Fla.,303,0,0,2
Wrote,304,4,8,2
5-column,305,4,8,2
series,306,4,8,2
on,307,0,0,2
sexual,308,4,8,2
assault,309,4,8,2
cited,310,4,8,2
by,311,0,0,2
"frats,",312,4,8,2
"SG,",313,4,8,2
&,314,0,0,2
administration,315,4,8,2
in,316,4,0,2
university,317,4,8,2
changes,318,4,8,2
Wrote,319,4,5,2
weekly,320,4,5,2
data-driven,321,5,5,2
op-ed,322,4,5,2
column,323,4,5,2
discussing,324,4,5,2
culture,325,4,5,2
&,326,0,0,2
social,327,4,5,2
issues,328,4,5,2
at,329,0,0,2
the,330,0,0,2
local,331,4,5,2
and,332,0,0,2
national,333,4,5,2
level,334,4,5,2
Wrote,335,4,3,2
and,336,0,0,2
illustrated,337,3,5,2
a,338,0,0,2
weekly,339,4,3,2
science,340,4,3,2
blog,341,4,3,2
discussing,342,4,3,2
all,343,4,3,2
manner,344,4,3,2
of,345,0,0,2
huh-inducing,346,4,3,2
scientific,347,4,3,2
phenomena,348,4,3,2
the,349,0,0,2
fill,350,4,4,2
founder,351,4,4,2
managing,352,4,4,2
editor,353,4,4,2
developed,354,4,6,2
a,355,0,0,2
newsletter,356,4,4,2
focused,357,4,4,2
on,358,0,0,2
in-depth,359,4,4,2
presentation,360,4,4,2
of,361,0,0,2
a,362,0,0,2
single,363,4,4,2
news,364,4,4,2
article,365,4,4,2
a,366,0,0,2
day,367,4,4,2
Found,368,4,4,2
pieces,369,4,4,2
and,370,0,0,2
synthesized,371,4,4,2
them,372,4,4,2
daily,373,4,4,2
for,374,0,0,2
readership,375,4,4,2
of,376,0,0,2
over,377,4,4,2
200,378,4,4,2
in,379,0,0,2
digestible,380,4,4,2
Q&A,381,4,4,2
format,382,4,4,2
Provided,383,4,4,2
"thorough,",384,4,4,2
balanced,385,4,4,2
coverage,386,4,4,2
of,387,0,0,2
2016,388,4,4,2
Presidential,389,4,4,2
election,390,4,4,2
that,391,4,4,2
received,392,4,4,2
praise,393,4,4,2
from,394,4,4,2
readers,395,4,4,2
Office,396,1,1,2
of,397,0,0,2
Congressman,398,1,1,2
Adriano,399,1,1,2
Espaillat,400,1,1,2
(NY,401,1,1,2
13),402,1,1,2
press,403,4,1,2
intern,404,2,1,2
Summer,405,0,0,2
2017,406,0,0,2
"Washington,",407,0,0,2
DC,408,0,0,2
Wrote,409,4,1,2
floor,410,1,1,2
"speeches,",411,1,1,2
talking,412,1,1,2
"points,",413,1,1,2
public,414,1,1,2
"statements,",415,1,1,2
&,416,0,0,2
press,417,4,4,2
advisories,418,1,1,2
for,419,1,1,2
the,420,1,1,2
congressman,421,1,1,2
Designed,422,3,3,2
all,423,3,3,2
graphics,424,3,3,2
during,425,3,3,2
my,426,3,3,2
tenure,427,3,3,2
for,428,0,0,2
"pamphlets,",429,3,3,2
"contests,",430,3,3,2
email,431,3,3,2
"banners,",432,3,3,2
and,433,0,0,2
more,434,3,3,2
Developed,435,1,1,2
intimate,436,1,1,2
understanding,437,1,1,2
of,438,0,0,2
how,439,1,1,2
to,440,0,0,2
navigate,441,1,1,2
the,442,0,0,2
political,443,1,1,2
press,444,4,1,2
communications,445,1,1,2
machine,446,1,1,2
of,447,0,0,2
Congressman,448,1,1,2
Josh,449,1,1,2
Gottheimer,450,1,1,2
(NJ,451,1,1,2
5),452,1,1,2
Summer,453,0,0,2
2017,454,0,0,2
Opioid,455,1,1,2
Addiction,456,1,1,2
Research,457,1,1,2
Intern,458,1,1,2
"Washington,",459,0,0,2
DC,460,0,0,2
Drafted,461,1,1,2
an,462,1,1,2
extensive,463,1,1,2
research,464,1,1,2
memo,465,1,1,2
on,466,0,0,2
opioid,467,1,1,2
abuse,468,1,1,2
in,469,0,0,2
New,470,1,1,2
Jersey,471,1,1,2
and,472,0,0,2
possible,473,1,1,2
legislative,474,1,1,2
remedies,475,1,1,2
Prepared,476,1,1,2
a,477,0,0,2
two-page,478,1,1,2
brief,479,1,1,2
on,480,0,0,2
the,481,0,0,2
opioid,482,1,1,2
epidemic,483,1,1,2
in,484,0,0,2
New,485,1,1,2
Jersey,486,1,1,2
for,487,0,0,2
the,488,0,0,2
congressman,489,1,1,2
Got,490,1,1,2
front-row,491,1,1,2
seat,492,1,1,2
